growth_entity,solution,year,monthly_rate,goal_seek_rate,calculated_rate
Growth Rate 01,London Solution,2025,0.00407412378364835,0.00407412378364835,0.0236767445633168
Growth Rate 01,London Solution,2026,0.00407412378364835,0.00407412378364835,0.0462822665273403
Growth Rate 01,London Solution,2027,0.00407412378364835,0.00407412378364835,0.046810336096138
Growth Rate 01,London Solution,2028,0.00407412378364835,0.00407412378364835,0.0455668489174917
Growth Rate 01,Birmingham Solution,2025,0.00407412378364835,0.00407412378364835,0.0248972874257298
Growth Rate 01,Birmingham Solution,2026,0.00407412378364835,0.00407412378364835,0.0506165148823303
Growth Rate 01,Birmingham Solution,2027,0.00407412378364835,0.00407412378364835,0.0508037627186041
Growth Rate 01,Birmingham Solution,2028,0.00407412378364835,0.00407412378364835,0.0485471433263358
Growth Rate 01,Liverpool Solution,2025,0.00407412378364835,0.00407412378364835,0.025718888813206
Growth Rate 01,Liverpool Solution,2026,0.00407412378364835,0.00407412378364835,0.0521935456660616
Growth Rate 01,Liverpool Solution,2027,0.00407412378364835,0.00407412378364835,0.0520035577372333
Growth Rate 01,Liverpool Solution,2028,0.00407412378364835,0.00407412378364835,0.0501439826336989
Growth Rate 01,Cardiff Solution,2025,0.00407412378364835,0.00407412378364835,0.0260231374053768
Growth Rate 01,Cardiff Solution,2026,0.00407412378364835,0.00407412378364835,0.0534873679796539
Growth Rate 01,Cardiff Solution,2027,0.00407412378364835,0.00407412378364835,0.0531104784232688
Growth Rate 01,Cardiff Solution,2028,0.00407412378364835,0.00407412378364835,0.0507468469696274
Growth Rate 01,Glasgow Solution,2025,0.00407412378364835,0.00407412378364835,0.0264914775240847
Growth Rate 01,Glasgow Solution,2026,0.00407412378364835,0.00407412378364835,0.0549923868517303
Growth Rate 01,Glasgow Solution,2027,0.00407412378364835,0.00407412378364835,0.0541419518474516
Growth Rate 01,Glasgow Solution,2028,0.00407412378364835,0.00407412378364835,0.0509775275362803
Growth Rate 01,Newcastle Solution,2025,0.00407412378364835,0.00407412378364835,0.0283799613621538
Growth Rate 01,Newcastle Solution,2026,0.00407412378364835,0.00407412378364835,0.0571622604010536
Growth Rate 01,Newcastle Solution,2027,0.00407412378364835,0.00407412378364835,0.0549504941390523
